Country,Region,Subregion,Indicator,Dimension,Category,Year,Group
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Montenegro,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Belgium,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Guatemala,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Montenegro,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2023,Police
Australia,Oceania,Australia and New Zealand,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Bulgaria,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Belarus,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Bermuda,Americas,Northern America,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Canada,Americas,Northern America,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Costa Rica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Germany,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Algeria,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Georgia,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Croatia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Iceland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Israel,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Japan,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Kyrgyzstan,Asia,Central Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Monaco,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Republic of Moldova,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Maldives,Asia,Southern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
North Macedonia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Mauritius,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Norway,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
New Zealand,Oceania,Australia and New Zealand,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Panama,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
State of Palestine,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2003,Judiciary
